,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
369,Genhe,0,CN,1560547667,69,50.78,121.52,43.16,1.19
370,Pathein,77,MM,1560547668,86,16.78,94.73,80.96,10.13
371,Luena,0,AO,1560547670,55,-11.78,19.91,53.42,3.13
372,Mayo,75,CA,1560547671,35,63.59,-135.9,71.6,5.82
373,Ronne,100,FR,1560547672,72,48.45,0.83,64.4,5.82
374,Marsa Matruh,0,EG,1560547673,83,31.35,27.25,75.2,11.41
375,Lastoursville,98,GA,1560547674,87,-0.81,12.73,74.84,2.75
376,Gunjur,0,GM,1560547675,78,13.18,-16.76,77.0,9.17
377,Codajas,100,BR,1560547677,90,-3.84,-62.06,82.04,1.12
378,el Prat de Llobregat,0,ES,1560547678,68,41.32,2.1,71.01,12.75
379,Tigil,0,RU,1560547679,53,57.8,158.67,51.44,2.21
380,Namatanai,100,PG,1560547680,88,-3.66,152.44,78.08,18.86
381,Haines Junction,0,CA,1560547682,37,60.75,-137.51,62.42,9.4
382,Riverton,1,US,1560547446,43,43.02,-108.38,73.4,23.04
383,Havoysund,75,NO,1560547684,86,71.0,24.66,42.8,14.99
384,Mirnyy,65,RU,1560547685,96,56.57,36.46,54.86,7.02
385,Tangzhai,18,CN,1560547687,85,26.73,109.0,62.78,2.01
386,Matara,0,PE,1560547688,39,-13.74,-72.9,56.48,7.94
387,Xuddur,34,SO,1560547689,78,4.12,43.89,73.58,18.72
388,Vicksburg,74,US,1560547690,43,32.35,-90.88,89.01,6.93
389,Caravelas,0,BR,1560547691,82,-17.73,-39.27,74.84,5.32
390,Kanker,100,IN,1560547693,71,20.27,81.49,81.32,5.82
391,Ciudad Bolivar,86,VE,1560547694,49,8.12,-63.55,90.5,8.32
392,Lucapa,0,AO,1560547695,39,-8.42,20.74,66.02,3.36
393,Hovd,0,NO,1560547696,87,63.83,10.7,60.8,1.34
394,Teruel,2,ES,1560547698,36,40.34,-1.11,68.0,6.93
395,Sfantu Gheorghe,0,RO,1560547699,64,44.65,26.83,77.0,6.93
396,Mikkeli,90,FI,1560547700,100,61.69,27.27,55.4,4.7
397,Coari,100,BR,1560547701,72,-4.09,-63.14,83.66,2.93
398,Ballina,0,IE,1560547703,71,54.11,-9.15,51.8,5.82
399,Iralaya,40,HN,1560547704,70,15.0,-83.23,87.8,11.41
400,Swan Hill,2,AU,1560547705,91,-35.34,143.56,47.48,3.91
401,Oran,20,DZ,1560547706,68,35.7,-0.65,66.2,9.17
402,Natal,75,BR,1560547707,83,-5.81,-35.21,77.0,6.93
403,Carutapera,100,BR,1560547709,85,-1.2,-46.02,78.98,7.09
404,Sao Gabriel da Cachoeira,48,BR,1560547710,60,-0.13,-67.09,87.08,1.23
405,Pascagoula,1,US,1560547711,40,30.37,-88.56,89.6,10.29
406,Bumba,100,CD,1560547712,95,2.18,22.47,71.96,2.64
407,Santa Fe,97,AR,1560547590,78,-31.62,-60.7,60.01,1.99
408,Namtsy,0,RU,1560547715,76,62.72,129.66,55.4,2.24
409,Maryville,40,US,1560547716,29,40.35,-94.87,84.2,13.87
410,Cologno al Serio,40,IT,1560547717,53,45.58,9.71,78.8,5.82
411,Ayorou,52,NE,1560547718,21,14.73,0.92,101.48,7.43
412,Aksarka,0,RU,1560547720,86,66.56,67.8,31.64,10.2
413,Lasa,20,CY,1560547721,88,34.92,32.53,75.2,3.36
414,Pevek,0,RU,1560547722,71,69.7,170.27,42.98,2.98
415,Birao,68,CF,1560547723,74,10.3,22.78,78.8,2.77
416,Nyurba,17,RU,1560547725,65,63.29,118.35,54.5,5.46
417,Boguchany,0,RU,1560547726,86,58.38,97.46,49.46,3.24
418,Emba,20,CY,1560547727,88,34.81,32.42,75.2,3.36
419,Cabra,9,ES,1560547728,45,37.47,-4.43,68.0,11.41
420,Boa Vista,40,BR,1560547730,78,2.82,-60.67,80.6,4.7
421,Leningradskiy,6,RU,1560547731,66,69.38,178.42,48.38,2.39
422,Nurota,94,UZ,1560547733,26,40.56,65.69,78.8,6.93
423,Lazaro Cardenas,75,MX,1560547734,33,28.39,-105.62,86.0,16.11
424,Puerto del Rosario,75,ES,1560547735,68,28.5,-13.86,68.0,10.29
425,Antofagasta,90,CL,1560547736,76,-23.65,-70.4,57.2,9.17
426,Lorengau,100,PG,1560547738,92,-2.02,147.27,77.54,8.77
427,Pangnirtung,75,CA,1560547739,75,66.15,-65.72,42.8,6.93
428,Kimbe,100,PG,1560547740,83,-5.56,150.15,73.22,3.24
429,Znamenka,31,RU,1560547741,82,52.41,41.44,60.8,12.03
430,Key West,40,US,1560547742,39,47.93,-96.78,82.4,5.82
431,Gat,0,SN,1560547744,83,14.69,-16.54,73.4,13.87
432,Toora-Khem,100,RU,1560547745,99,52.47,96.11,52.34,3.8
433,Ambanja,31,MG,1560547746,66,-13.68,48.45,78.98,5.68
434,Naples,1,US,1560547502,66,26.14,-81.79,91.4,5.82
435,San Vicente,40,SV,1560547749,66,13.64,-88.78,87.8,5.82
436,Safranbolu,94,TR,1560547750,91,41.25,32.69,62.6,2.73
437,Tomatlan,1,MX,1560547751,55,19.93,-105.25,84.56,8.59
438,Iacu,0,BR,1560547753,63,-12.77,-40.21,72.86,5.79
439,Itarema,55,BR,1560547754,88,-2.92,-39.92,76.64,7.38
440,Grand Bank,0,CA,1560547755,81,47.1,-55.77,48.2,8.05
441,Sampit,94,ID,1560547756,99,-2.54,112.95,74.3,0.47
442,Moctezuma,0,MX,1560547757,17,29.81,-109.68,94.28,23.15
443,Terbuny,17,RU,1560547759,91,52.15,38.28,62.6,10.04
444,Shache,98,CN,1560547760,40,38.42,77.24,75.99,6.8
445,Kiunga,100,PG,1560547761,99,-6.12,141.3,71.06,1.74
446,Davila,90,PH,1560547762,94,18.47,120.58,77.0,9.17
447,Faanui,100,PF,1560547764,77,-16.48,-151.75,80.78,22.77
448,Brewster,1,US,1560547765,72,41.76,-70.08,73.4,10.29
449,Goya,100,AR,1560547766,80,-29.14,-59.27,73.04,5.17
450,Pingxiang,1,CN,1560547767,91,27.63,113.85,64.76,2.21
451,Ahuimanu,40,US,1560547768,54,21.44,-157.84,89.6,9.17
452,Xiamen,20,CN,1560547770,78,24.46,118.07,75.2,6.71
453,Teguise,20,ES,1560547771,68,29.06,-13.56,68.0,11.41
454,Urusha,0,RU,1560547772,80,54.05,122.9,48.74,1.77
455,Wawa,100,NG,1560547773,86,9.9,4.41,77.18,4.85
456,Cairns,17,AU,1560547774,83,-16.92,145.77,69.8,10.29
457,Butembo,55,CD,1560547776,98,0.12,29.29,61.52,2.37
458,Zemio,93,CF,1560547777,95,5.02,25.13,68.9,0.58
459,Yar-Sale,87,RU,1560547778,87,66.83,70.83,30.02,8.21
460,Dikson,100,RU,1560547779,96,73.51,80.55,31.82,18.07
461,Christchurch,100,NZ,1560547619,93,-43.53,172.64,51.01,10.29
462,Camabatela,21,AO,1560547782,61,-8.19,15.37,63.86,1.54
463,Leh,0,IN,1560547783,51,34.16,77.58,25.34,4.85
464,Broken Hill,40,AU,1560547784,93,-31.97,141.45,44.6,6.38
465,Potosi,98,BO,1560547785,30,-19.59,-65.75,52.52,13.76
466,Hammerfest,75,NO,1560547786,86,70.66,23.68,41.0,14.99
467,Alberton,0,ZA,1560547788,70,-26.25,28.13,53.01,1.88
468,Bonthe,11,SL,1560547789,89,7.53,-12.5,78.26,6.15
469,Galesong,20,ID,1560547790,88,-5.32,119.37,73.4,3.36
470,Uruzgan,0,AF,1560547791,21,32.93,66.63,58.1,3.74
471,Folsom,1,US,1560547640,37,38.68,-121.18,88.0,3.91
472,Kovrov,99,RU,1560547793,98,56.37,41.31,49.82,5.55
473,Huilong,70,CN,1560547795,86,28.89,110.18,62.42,3.36
474,Rybachiy,0,RU,1560547796,41,48.71,44.74,60.01,2.24
475,Maputo,0,MZ,1560547797,82,-25.97,32.57,59.0,4.7
476,Vostok,100,RU,1560547798,94,46.45,135.83,46.58,4.59
477,Ostrovnoy,100,RU,1560547800,88,68.05,39.51,38.12,19.08
478,Kaura Namoda,100,NG,1560547801,65,12.59,6.58,82.76,16.64
479,Huntsville,1,US,1560547768,34,34.73,-86.59,84.2,8.05
480,Kavieng,100,PG,1560547803,88,-2.57,150.8,78.98,12.8
481,Alenquer,20,BR,1560547573,89,-1.95,-54.74,84.2,1.12
482,Cockburn Town,0,TC,1560547806,77,21.46,-71.14,80.78,18.37
483,Saint-Louis,90,CH,1560547807,77,47.59,7.56,66.2,6.93
484,Cowra,0,AU,1560547808,91,-33.84,148.69,39.99,1.99
485,Ust-Ishim,76,RU,1560547809,83,57.69,71.17,34.7,1.45
486,Camacha,20,PT,1560547810,68,33.08,-16.33,66.2,6.93
487,Solnechnyy,100,RU,1560547812,96,50.72,136.64,38.3,6.58
488,Henties Bay,0,NA,1560547813,20,-22.12,14.28,70.0,1.01
489,Hualmay,3,PE,1560547814,83,-11.1,-77.61,64.58,15.19
490,Sao Filipe,100,CV,1560547815,86,14.9,-24.5,72.86,16.04
491,Mamallapuram,20,IN,1560547778,66,12.63,80.17,89.6,8.05
492,Dhidhdhoo,85,MV,1560547818,81,6.88,73.1,83.48,12.26
493,Bay-Khaak,100,RU,1560547819,90,51.16,94.47,54.68,5.28
494,Guerrero Negro,0,MX,1560547820,85,27.97,-114.04,62.78,15.55
495,Morwa,60,IN,1560547821,64,22.9,73.84,84.38,7.85
496,Oudtshoorn,0,ZA,1560547823,20,-33.59,22.2,44.6,2.24
497,Sao Sebastiao,20,BR,1560547795,66,-3.15,-58.36,89.6,5.82
498,Dudinka,40,RU,1560547825,74,69.41,86.18,35.6,26.84
499,Khash,0,IR,1560547826,15,28.22,61.21,75.38,8.9
500,Sambava,89,MG,1560547827,83,-14.27,50.17,67.64,3.06
501,Neuquen,0,AR,1560547725,70,-38.95,-68.06,48.2,6.93
502,Batemans Bay,0,AU,1560547830,99,-35.71,150.18,43.0,3.42
503,Baker City,1,US,1560547641,16,44.77,-117.83,78.8,6.11
504,Rajula,100,IN,1560547832,86,21.04,71.44,80.06,16.17
505,Nouadhibou,33,MR,1560547833,68,20.93,-17.03,69.8,12.75
506,Cheney,1,US,1560547633,27,47.49,-117.58,84.0,11.41
507,Nsanje,93,MZ,1560547835,95,-16.92,35.26,62.42,2.75
508,Nantucket,1,US,1560547836,77,41.28,-70.1,69.8,21.92
509,Saint-Ambroise,0,FR,1560547838,63,47.25,-0.65,64.0,5.82
510,Inza,100,RU,1560547839,98,53.86,46.36,51.98,2.66
511,Kulhudhuffushi,13,MV,1560547840,80,6.62,73.07,83.12,11.12
512,Taklisah,40,TN,1560547841,60,36.78,10.63,75.2,8.05
513,Mlonggo,20,ID,1560547843,83,-6.53,110.7,77.0,19.08
514,Bondoukou,100,CI,1560547844,96,8.04,-2.8,72.68,2.77
515,Kidal,19,ML,1560547845,19,18.44,1.41,94.28,3.2
516,Waingapu,30,ID,1560547846,93,-9.65,120.26,69.44,9.46
517,Oceanside,1,US,1560547660,56,33.2,-117.38,75.2,10.29
518,Cap Malheureux,75,MU,1560547849,77,-19.98,57.61,68.0,11.7
519,Arlit,5,NE,1560547850,8,18.74,7.39,103.46,13.06
520,La Rioja,0,AR,1560547851,57,-29.41,-66.86,50.54,5.86
521,Chinhoyi,0,ZW,1560547852,79,-17.36,30.19,54.14,9.44
522,Fort Nelson,75,CA,1560547853,63,58.81,-122.69,66.2,10.29
523,Athabasca,83,CA,1560547854,43,54.72,-113.29,69.62,8.52
524,Verkhoyansk,0,RU,1560547859,47,67.55,133.39,59.72,4.79
525,Ulcinj,0,ME,1560547860,69,41.93,19.22,78.8,3.36
526,Hami,2,CN,1560547861,33,42.84,93.51,67.28,6.35
527,Karachi,37,PK,1560547604,54,24.87,67.03,88.88,5.75
528,Soyo,0,AO,1560547699,78,-6.13,12.37,76.64,9.1
529,Bodden Town,20,KY,1560547865,66,19.28,-81.25,89.6,12.75
530,Hambantota,20,LK,1560547866,100,6.12,81.12,80.6,10.29
531,Ornskoldsvik,100,SE,1560547867,100,63.29,18.72,53.6,4.7
532,Challans,0,FR,1560547868,82,46.85,-1.88,55.99,4.7
533,Camacupa,0,AO,1560547870,47,-12.02,17.48,53.06,3.04
534,Suileng,88,CN,1560547871,71,47.25,127.08,50.18,13.49
535,Conceicao do Araguaia,63,BR,1560547872,60,-8.26,-49.26,82.58,2.71
536,Usogorsk,100,RU,1560547873,93,63.43,48.71,44.24,4.88
537,Homer,90,US,1560547875,62,59.64,-151.54,63.0,3.36
538,Pirovskoye,0,RU,1560547876,96,57.63,92.27,46.22,1.74
539,Ochakiv,0,UA,1560547877,61,46.61,31.55,78.8,4.47
540,Orumiyeh,0,IR,1560547878,55,37.55,45.08,62.6,6.93
541,Ojinaga,1,US,1560547879,18,29.56,-104.41,98.6,3.36
542,Ejido Hermosillo,1,MX,1560547713,10,32.51,-114.92,104.0,8.05
543,Nemuro,100,JP,1560547882,94,43.32,145.57,52.52,19.98
544,Bania,20,BG,1560547883,69,42.47,24.14,73.4,4.7
545,Pochutla,90,MX,1560547884,78,15.74,-96.47,86.0,11.41
546,Singarayakonda,100,IN,1560547885,41,15.25,80.02,94.1,11.88
547,Shitkino,100,RU,1560547887,87,56.37,98.35,58.1,6.31
548,Humboldt,100,CA,1560547758,61,52.21,-105.12,70.16,4.36
549,Benguela,0,AO,1560547889,82,-12.58,13.4,74.12,7.36
550,Harper,1,US,1560547890,48,30.3,-99.24,89.6,13.87
551,Tosno,90,RU,1560547891,87,59.54,30.88,59.0,3.83
552,Alyangula,40,AU,1560547893,100,-13.85,136.42,64.4,9.64
553,Chernaya Kholunitsa,0,RU,1560547894,95,58.85,51.72,40.82,4.63
554,Rostock,40,DE,1560547679,77,54.09,12.13,68.0,6.93
555,Udachnyy,0,RU,1560547896,48,66.42,112.4,60.8,8.95
556,Geraldton,90,CA,1560547898,82,49.72,-86.95,55.4,9.17
557,Bushehr,0,IR,1560547899,55,28.97,50.84,91.4,16.11
558,Pangody,100,RU,1560547900,93,65.85,74.49,29.12,14.99
559,Monrovia,75,LR,1560547901,94,6.33,-10.8,78.8,7.23
560,Viedma,100,AR,1560547902,78,-40.81,-62.99,52.7,14.18
561,Marsh Harbour,100,BS,1560547904,66,26.54,-77.06,82.58,2.35
562,Kirakira,2,SB,1560547905,81,-10.46,161.92,76.28,6.87
563,Harnosand,100,SE,1560547906,93,62.63,17.94,54.0,3.36
564,Baykit,22,RU,1560547907,87,61.68,96.39,41.9,2.82
565,Gamba,10,CN,1560547909,74,28.28,88.52,39.02,4.85
566,Nong Khai,100,TH,1560547910,97,17.88,102.75,76.28,2.15
567,Severodvinsk,40,RU,1560547911,81,64.56,39.82,50.0,2.24
568,Treinta y Tres,51,UY,1560547912,91,-33.23,-54.39,67.64,6.58
569,Grand Gaube,75,MU,1560547913,77,-20.01,57.66,68.0,11.7
570,Kutum,84,SD,1560547915,24,14.2,24.66,83.48,1.23
571,Mulanje,98,MW,1560547916,97,-16.03,35.5,55.94,5.26
572,Grand-Santi,70,GF,1560547917,95,4.27,-54.38,79.16,2.01
573,Khorramabad,0,IR,1560547918,34,33.48,48.35,68.0,4.7
